name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/beds/stls/MPSM_Side_Cooling_Vent_Remix_for_No_Drill_Bed_Rewiring/MPSM_Side_Cooling_Vent_Back_Bed_Rewire.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/MPSM_Side_Cooling_Vent_Remix_for_No_Drill_Bed_Rewiring/MPSM_Cooling_Panel_NO_DRILL_REMIX_Part_2.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/MPSM_Side_Cooling_Vent_Remix_for_No_Drill_Bed_Rewiring/MPSM_Passive_Cooling_Panel_NO_DRILL_REMIX_-_Part_2.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_test_print/Test_Print_Bed_v2.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Another_ATX_Bench_Power_Supply/front.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Another_ATX_Bench_Power_Supply/top.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Another_ATX_Bench_Power_Supply/front-v2.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/BauTek_ATX-based_Bench_Power_Supply/Left_Handle_Optional_-_BauTek_ATX_PSU.stl,-56214.50359158848,,True,False,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/BauTek_ATX-based_Bench_Power_Supply/Right_Foot_-_BauTek_ATX_PSU.stl,-4279.559380293765,,True,False,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Bench_Dog_Clamp_Insert/BenchInsert0.75.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Park_bench_set_H0_scale/Bench_with_backrest.stl,,0.023308246269732567,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Bench_Dog_-_French_Cleat/Bench_Dog_FC.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Table_and_bench_-_28_mm/banco.stl,,0.06325066604114868,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Optics_Bench_Lensholder/lens_holder.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Optics_Bench_Lensholder/complete_set.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Japanese_wooden_bench/Japenese_wood_bench2.stl,,,False,True,True,True
